period,destination_country,quantity_tons,value_usd_cents,source,fetched_at
2024,World,10004014.7,185922035600,comtrade_hs440131,2026-09-03T23:19:59Z
2024,United Kingdom,7004305.2,134208144400,comtrade_hs440131,2026-09-03T23:19:59Z
2024,Japan,1150032.8,19555784900,comtrade_hs440131,2026-09-03T23:19:59Z
2024,Netherlands,659378.0,10489624800,comtrade_hs440131,2026-09-03T23:19:59Z
2024,Denmark,648647.6,11189964100,comtrade_hs440131,2026-09-03T23:19:59Z
2024,Canada (comtrade-legacy-251),378445.9,6579658200,comtrade_hs440131,2026-09-03T23:19:59Z
2024,Belgium,69711.0,1132815100,comtrade_hs440131,2026-09-03T23:19:59Z
2024,Estonia,50000.0,1025000000,comtrade_hs440131,2026-09-03T23:19:59Z
2024,Canada,29589.6,1319800800,comtrade_hs440131,2026-09-03T23:19:59Z
2024,Germany,7890.2,110777000,comtrade_hs440131,2026-09-03T23:19:59Z
2024,Australia,3072.1,171905900,comtrade_hs440131,2026-09-03T23:19:59Z
2024,World,1137.1,168566100,comtrade_hs440132,2026-09-03T23:19:59Z
2024,Mexico,751.7,73669300,comtrade_hs440132,2026-09-03T23:19:59Z
2024,Italy,649.7,8195700,comtrade_hs440131,2026-09-03T23:19:59Z
2024,New Zealand,593.1,35740400,comtrade_hs440131,2026-09-03T23:19:59Z
2024,Israel,535.3,23937000,comtrade_hs440131,2026-09-03T23:19:59Z
2024,Dominican Republic,408.1,9700000,comtrade_hs440131,2026-09-03T23:19:59Z
2024,Canada,332.9,91432100,comtrade_hs440132,2026-09-03T23:19:59Z
2024,Mexico,267.8,24141900,comtrade_hs440131,2026-09-03T23:19:59Z
2024,Bahrain,126.9,7659700,comtrade_hs440131,2026-09-03T23:19:59Z
2024,United Arab Emirates,82.0,6347100,comtrade_hs440131,2026-09-03T23:19:59Z
2024,South Africa (legacy-579),73.1,5393200,comtrade_hs440131,2026-09-03T23:19:59Z
2024,Philippines,31.1,1772300,comtrade_hs440131,2026-09-03T23:19:59Z
2024,Bermuda,30.2,3640400,comtrade_hs440131,2026-09-03T23:19:59Z
2024,Saudi Arabia,20.7,1367100,comtrade_hs440131,2026-09-03T23:19:59Z
2024,"Other Asia, nes",19.0,1171400,comtrade_hs440131,2026-09-03T23:19:59Z
2024,United Kingdom,18.9,483000,comtrade_hs440132,2026-09-03T23:19:59Z
2024,Hong Kong,18.5,650000,comtrade_hs440131,2026-09-03T23:19:59Z
2024,"Korea, Rep.",18.5,800000,comtrade_hs440131,2026-09-03T23:19:59Z
2024,Philippines,17.4,990400,comtrade_hs440132,2026-09-03T23:19:59Z
2024,Egypt,15.4,1008000,comtrade_hs440131,2026-09-03T23:19:59Z
2024,Barbados,12.9,472600,comtrade_hs440132,2026-09-03T23:19:59Z
2024,Switzerland (legacy-757),10.7,562800,comtrade_hs440131,2026-09-03T23:19:59Z
2024,Thailand,9.5,2100000,comtrade_hs440131,2026-09-03T23:19:59Z
2024,French Polynesia,9.2,699600,comtrade_hs440131,2026-09-03T23:19:59Z
2024,Vietnam,8.3,435000,comtrade_hs440131,2026-09-03T23:19:59Z
2024,Aruba,5.6,751400,comtrade_hs440131,2026-09-03T23:19:59Z
2024,Kuwait,5.4,324000,comtrade_hs440131,2026-09-03T23:19:59Z
2024,Saudi Arabia,2.0,423900,comtrade_hs440132,2026-09-03T23:19:59Z
2024,Costa Rica,1.4,539600,comtrade_hs440131,2026-09-03T23:19:59Z
2024,Bahamas,1.3,549100,comtrade_hs440131,2026-09-03T23:19:59Z
2024,Guatemala,1.2,1094800,comtrade_hs440132,2026-09-03T23:19:59Z
2024,Trinidad and Tobago,0.7,402200,comtrade_hs440131,2026-09-03T23:19:59Z
2024,Antigua & Barbuda,0.4,333700,comtrade_hs440131,2026-09-03T23:19:59Z
2024,Guyana,0.3,338800,comtrade_hs440131,2026-09-03T23:19:59Z
